index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
8274,80.0,-0.06435661437666519,2.2592884952502685,0.3931002235551033,768,73087.74587439402,239505.24989569644,197305.286279917,-1.3368669700214133,36.779753520005094,1,0.34762687739347986,9.832402647574467,1024,20,20,1
8276,50.0,-0.07692503277905413,2.1847941904968327,0.395587739011084,768,60608.69014836072,223803.66048212888,213057.7568516732,-1.3370091900040586,36.77981591509242,1,0.35100070156358426,10.229557986047311,1024,20,20,1
828,60.0,0.050920074987064495,1.7628231601636462,0.61989283980496,3456,149828.33834332618,96596.923719133,128592.03168764213,-1.349992,36.805074,1,0.5334708417410754,7.285985461224179,5184,1,17,1
8288,40.0,-0.06795328614415773,2.3187806367554367,0.3934697371048155,768,60755.98992554835,200155.799913967,175964.86680205987,-1.3364177538719768,36.77955022321429,1,0.3482950348870117,8.767074886811825,1024,20,21,1
8289,40.0,-0.09662381510767223,1.715270219277755,0.5007976960018339,768,92610.22302100346,137912.97936452538,89780.41836614485,-1.3364087561176528,36.77954961582475,1,0.4442789724457052,7.870865398392075,1024,20,21,1
829,70.0,0.02652184643794012,1.7996914626489433,0.5879101957614041,3456,144619.1052641002,86762.54740381935,124715.11488276884,-1.349994,36.80506,1,0.5080488570372397,8.841721527795709,5184,1,17,1
8292,40.0,-0.058193078439555214,2.4554422406989715,0.34147684185358795,768,43973.59365384337,204650.25090040814,177912.2981771262,-1.3358243541925678,36.77967560751949,1,0.3021961133756489,8.096794146339434,1024,20,21,1
8295,70.0,-0.059664478252727325,2.55050898161274,0.3389066908067888,2988,53047.435976889814,202115.3667794708,182085.9911256828,-1.376056343441331,36.84023698531255,1,0.3001059480212171,7.316394003823383,5312,20,17,1
8297,40.0,-0.04248177717695732,1.8583669504337736,0.501144221292844,2988,128804.66555430187,129970.5007684436,150204.24364696073,-1.3762180187918065,36.840582864847576,1,0.4393529660736568,4.841096028746978,5312,20,17,1
83,47.36842105260001,0.03532085460217882,2.295618105990017,0.4699243920941853,4000,126454.37922384847,211570.8377872527,242991.71275626298,-1.378549,36.814932,1,0.4047268444905247,5.557294643450419,6000,1,16,1
8315,43.3333333333,-0.03635994504823695,1.9867457336549832,0.4333423300588052,768,87600.8225960236,139185.35462325052,217792.23325147908,-1.3967242994460736,36.86102371879832,1,0.3798749362552977,6.753265674352553,1024,20,17,0
8316,66.6666666667,-0.03221994597251729,2.0989636638223983,0.4438821179893853,768,95624.36653820686,172921.7064546843,217307.8239870806,-1.401178094118076,36.86766142764615,1,0.3886292262222775,6.511577272942207,1024,20,17,0
