GID,ANNOTATION_ID
4048,[15909]
1280,[]
209,[]
4653,[15911]
3797,[]
1502,[15013]
1969,"[14586, 14587]"
318,[15448]
3750,[]
4325,[]
1308,"[12364, 12365, 12366]"
2201,[]
1839,"[14771, 14772]"
659,[14112]
3786,[]
2089,[15048]
4869,[]
2759,"[17044, 17045]"
4132,[]
1030,[15639]
579,"[16078, 16079]"
2838,[17293]
348,[13277]
2276,[14596]
3346,[12559]
4276,"[18700, 18701, 18702]"
4784,[]
2247,[14090]
1947,[14403]
1998,"[14647, 14648, 14649]"
3610,[]
368,[13280]
2324,[14617]
3476,[]
4618,[]
3930,[]
3541,[12210]
1058,[9539]
2227,"[14628, 14629]"
434,[]
1644,"[15053, 15054, 15055, 15056, 15057, 15058]"
1148,[]
4589,"[15754, 15755]"
4833,"[18048, 18049]"
3003,"[17239, 17240]"
361,[13307]
236,[]
1096,"[9426, 9427]"
4429,[18203]
1582,[13992]
2348,[]
4757,[]
186,[]
3019,[17043]
2067,"[9186, 9187]"
1648,"[14291, 14292, 14293]"
480,[15428]
1340,[]
1978,"[14298, 14299, 14300]"
4061,[18753]
4566,[]
501,[9373]
1430,"[12291, 12292, 12293]"
4437,[10039]
207,[]
4078,[10029]
1798,"[15164, 15165]"
1344,[9689]
2674,[16812]
3045,[]
170,[]
3335,[12620]
4152,[]
2111,[9543]
3918,[]
2222,[14986]
4261,[18157]
896,"[9432, 9433]"
4767,[]
567,[16053]
1289,[]
4396,[]
1111,[]
188,[]
2895,"[16874, 16875, 16876]"
67,[13455]
3417,[]
3249,[12674]
1869,[13961]
1330,"[12309, 12310]"
1547,"[15374, 15375]"
2091,[14258]
4919,[12471]
1565,[14556]
1456,[]
522,[9397]
3955,[15769]
4484,[15748]
3747,[]
4552,[]
381,[13321]
2557,"[17317, 17318]"
3970,"[18115, 18116]"
1020,[]
3961,"[18234, 18235, 18236]"
314,[9184]
4515,[]
90,[]
2469,[14926]
4010,[18768]
589,[16038]
73,"[13419, 13420]"
3231,[]
3390,[12632]
15,[9325]
4988,"[12998, 12999]"
2225,[14543]
2017,[15845]
1737,[14026]
641,[9371]
530,[16022]
4081,[]
424,[16163]
1108,[]
611,[16088]
4279,"[18200, 18201, 18202]"
292,[]
3099,"[12748, 12749, 12750]"
3809,[]
1054,[15638]
2070,[9234]
247,[15451]
