AID,GID,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
15693,5930,infant,"NNP GZC Car '5RED', Person 'A'",0,____,-15693,good,UNKNOWN NAME,zebra_plains,right
17446,6372,infant,"NNP GZC Car '6RED', Person 'A'",0,____,-17446,poor,UNKNOWN NAME,zebra_plains,left
17447,6372,infant,"NNP GZC Car '6RED', Person 'A'",0,____,-17447,ok,UNKNOWN NAME,zebra_plains,backleft
8978,9226,juveniles - one year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,NNP_GIRM_0026,31,ok,Female,giraffe_masai,right
8979,9226,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,NNP_GIRM_0041,54,ok,UNKNOWN SEX,giraffe_masai,left
14087,2259,adult,"NNP GZC Car '1PURPLE', Person 'D'",1,IBEIS_PZ_1365,1638,excellent,Female,zebra_plains,left
14088,2259,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1279,1552,good,Female,zebra_plains,left
14948,1821,infant,"NNP GZC Car '1PURPLE', Person 'B'",1,IBEIS_PZ_0088,361,good,Female,zebra_plains,left
14854,1497,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_0355,628,ok,Male,zebra_plains,frontleft
11950,9153,juveniles - one year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0680,953,poor,Male,zebra_plains,left
11951,9153,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0684,957,ok,Female,zebra_plains,right
11952,9153,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0686,959,ok,Female,zebra_plains,left
18628,4003,infant,"NNP GZC Car '2RED', Person 'A'",0,____,-18628,excellent,UNKNOWN NAME,zebra_plains,right
18629,4003,adult,"NNP GZC Car '2RED', Person 'A'",0,IBEIS_PZ_0376,649,ok,Male,zebra_plains,left
8912,9403,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,NNP_GIRM_0030,39,ok,Female,giraffe_masai,left
10823,8205,juveniles- two year old,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1,IBEIS_PZ_0300,573,ok,UNKNOWN SEX,zebra_plains,left
11004,8405,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0517,790,ok,Male,zebra_plains,left
12462,4931,juveniles- two year old,"NNP GZC Car '2WHITE', Person 'A'",0,IBEIS_PZ_0401,674,ok,Female,zebra_plains,left
8824,3295,infant,"NNP GZC Car '1WHITE', Person 'B'",0,____,-8824,poor,UNKNOWN NAME,giraffe_masai,frontleft
8825,3295,infant,"NNP GZC Car '1WHITE', Person 'B'",0,____,-8825,poor,UNKNOWN NAME,giraffe_masai,backleft
