,,Share Proportion
-13396,photo_album_57,60.0
2029,photo_album_45,60.0
30,photo_album_7,60.0
1507,photo_album_96,60.0
1521,photo_album_9,60.0
328,photo_album_100,60.0
-16114,photo_album_36,60.0
306,photo_album_88,60.0
1516,photo_album_9,60.0
2004,photo_album_66,60.0
790,photo_album_73,60.0
-14527,photo_album_64,60.0
2,photo_album_11,60.0
-16067,photo_album_72,60.0
293,photo_album_41,60.0
-18338,photo_album_52,60.0
-18136,photo_album_60,60.0
-18041,photo_album_44,60.0
-18040,photo_album_44,60.0
-17265,photo_album_21,60.0
1999,photo_album_37,60.0
1701,photo_album_89,60.0
682,photo_album_69,60.0
2097,photo_album_39,60.0
1382,photo_album_89,60.0
1699,photo_album_89,60.0
-16086,photo_album_59,60.0
770,photo_album_44,60.0
1384,photo_album_76,60.0
1697,photo_album_89,60.0
-9431,photo_album_90,60.0
1534,photo_album_70,60.0
-16087,photo_album_59,60.0
296,photo_album_47,60.0
792,photo_album_48,60.0
1532,photo_album_9,60.0
348,photo_album_73,60.0
-17868,photo_album_66,60.0
1450,photo_album_48,60.0
791,photo_album_44,60.0
-17011,photo_album_21,60.0
1210,photo_album_84,60.0
460,photo_album_43,60.0
776,photo_album_53,60.0
1028,photo_album_40,60.0
570,photo_album_43,60.0
57,photo_album_93,60.0
-9542,photo_album_29,60.0
2138,photo_album_62,60.0
57,photo_album_84,60.0
1912,photo_album_26,60.0
-15427,photo_album_20,60.0
-15648,photo_album_50,60.0
-13274,photo_album_19,60.0
1758,photo_album_19,60.0
1840,photo_album_6,60.0
1146,photo_album_95,60.0
1148,photo_album_10,60.0
68,photo_album_6,60.0
1659,photo_album_3,60.0
-9009,photo_album_80,60.0
-9009,photo_album_55,60.0
1598,photo_album_9,60.0
-9009,photo_album_11,60.0
-8984,photo_album_80,60.0
115,photo_album_67,60.0
115,photo_album_80,60.0
1150,photo_album_6,60.0
-9311,photo_album_31,60.0
1914,photo_album_26,60.0
2138,photo_album_41,60.0
1151,photo_album_98,60.0
-8984,photo_album_55,60.0
-16435,photo_album_5,60.0
-13271,photo_album_19,60.0
741,photo_album_9,60.0
1628,photo_album_22,60.0
585,photo_album_79,60.0
-12974,photo_album_81,60.0
1815,photo_album_6,60.0
-12973,photo_album_81,60.0
-15489,photo_album_97,60.0
105,photo_album_34,60.0
63,photo_album_49,60.0
-16214,photo_album_37,60.0
18,photo_album_69,60.0
-12975,photo_album_81,60.0
2168,photo_album_76,60.0
-12976,photo_album_81,60.0
90,photo_album_67,60.0
1640,photo_album_79,60.0
-16200,photo_album_37,60.0
865,photo_album_51,60.0
-12985,photo_album_4,60.0
1639,photo_album_33,60.0
-9541,photo_album_29,60.0
-9169,photo_album_82,60.0
2178,photo_album_40,60.0
604,photo_album_89,60.0
1855,photo_album_10,60.0
690,photo_album_79,60.0
1125,photo_album_51,60.0
-15956,photo_album_10,60.0
-13847,photo_album_24,60.0
-13271,photo_album_1,60.0
113,photo_album_80,60.0
2139,photo_album_3,60.0
1222,photo_album_6,60.0
-8908,photo_album_80,60.0
535,photo_album_89,60.0
1199,photo_album_98,60.0
-8801,photo_album_49,60.0
-13452,photo_album_85,60.0
1178,photo_album_98,60.0
7,photo_album_69,60.0
-15389,photo_album_10,60.0
70,photo_album_6,60.0
-16752,photo_album_79,60.0
1189,photo_album_93,60.0
-9911,photo_album_81,60.0
-16754,photo_album_79,60.0
212,photo_album_31,60.0
1555,photo_album_76,60.0
959,photo_album_18,60.0
1553,photo_album_76,60.0
1722,photo_album_81,60.0
-8801,photo_album_67,60.0
1201,photo_album_40,60.0
1201,photo_album_6,60.0
-16971,photo_album_79,60.0
-18719,photo_album_44,60.0
1721,photo_album_65,60.0
1552,photo_album_79,60.0
47,photo_album_49,60.0
-13407,photo_album_57,60.0
-13313,photo_album_46,60.0
-16972,photo_album_79,60.0
-13316,photo_album_19,60.0
1215,photo_album_98,60.0
468,photo_album_43,60.0
1720,photo_album_65,60.0
-9323,photo_album_57,60.0
-12903,photo_album_65,60.0
1660,photo_album_91,60.0
508,photo_album_88,60.0
-9583,photo_album_34,60.0
677,photo_album_77,60.0
507,photo_album_88,60.0
1164,photo_album_98,60.0
-15391,photo_album_10,60.0
-16436,photo_album_5,60.0
1161,photo_album_95,60.0
677,photo_album_69,60.0
158,photo_album_49,60.0
-13292,photo_album_82,60.0
-9556,photo_album_91,60.0
1934,photo_album_79,60.0
1756,photo_album_82,60.0
53,photo_album_6,60.0
1734,photo_album_81,60.0
-13293,photo_album_14,60.0
1168,photo_album_84,60.0
2128,photo_album_74,60.0
49,photo_album_38,60.0
166,photo_album_91,60.0
-12904,photo_album_65,60.0
1566,photo_album_9,60.0
1946,photo_album_21,60.0
-16113,photo_album_36,60.0
1173,photo_album_7,60.0
2129,photo_album_74,60.0
100,photo_album_40,60.0
1831,photo_album_97,60.0
117,photo_album_87,60.0
1697,photo_album_15,58.8235294117647
696,photo_album_15,58.8235294117647
1384,photo_album_15,58.8235294117647
828,photo_album_23,57.89473684210526
829,photo_album_23,57.89473684210526
442,photo_album_6,56.666666666666664
1516,photo_album_12,55.55555555555556
378,photo_album_26,55.55555555555556
60,photo_album_11,55.55555555555556
1548,photo_album_22,55.55555555555556
435,photo_album_30,55.55555555555556
585,photo_album_26,55.55555555555556
439,photo_album_30,55.55555555555556
1146,photo_album_20,55.55555555555556
-12776,photo_album_15,55.55555555555556
667,photo_album_15,55.55555555555556
-13439,photo_album_8,55.55555555555556
-12777,photo_album_15,55.55555555555556
1157,photo_album_20,55.55555555555556
1561,photo_album_26,55.55555555555556
869,photo_album_23,55.55555555555556
1563,photo_album_12,55.55555555555556
-14204,photo_album_26,55.55555555555556
1175,photo_album_7,55.55555555555556
-16016,photo_album_28,55.55555555555556
811,photo_album_23,55.55555555555556
-12775,photo_album_15,55.55555555555556
328,photo_album_30,55.55555555555556
