,,Share Proportion,Standard Deviation,Variance
7776,photo_album_27,90.0,7.0710678118654755,50.0
7776,photo_album_71,80.0,,
7777,photo_album_27,66.66666666666667,4.714045207910321,22.222222222222253
7777,photo_album_71,60.0,,
7778,photo_album_27,70.0,0.0,0.0
7778,photo_album_71,70.0,,
7796,photo_album_16,50.0,7.0710678118654755,50.0
7796,photo_album_88,60.0,,
7797,photo_album_47,40.0,7.0710678118654755,50.0
7797,photo_album_88,30.0,,
7861,photo_album_16,0.0,42.42640687119285,1800.0
7861,photo_album_47,60.0,,
7933,photo_album_16,100.0,10.0,100.0
7933,photo_album_47,80.0,,
7933,photo_album_88,90.0,,
7945,photo_album_16,20.0,7.0710678118654755,50.0
7945,photo_album_47,30.0,,
7977,photo_album_47,20.0,7.0710678118654755,50.0
7977,photo_album_88,30.0,,
8003,photo_album_47,20.0,7.0710678118654755,50.0
8003,photo_album_88,10.0,,
83,photo_album_57,40.0,10.999438818457406,120.98765432098767
83,photo_album_8,55.55555555555556,,
8315,photo_album_11,40.0,15.275252316519467,233.33333333333334
8315,photo_album_17,30.0,,
8315,photo_album_80,60.0,,
8316,photo_album_17,50.0,20.816659994661325,433.3333333333333
8316,photo_album_42,90.0,,
8316,photo_album_67,60.0,,
8317,photo_album_11,44.44444444444444,13.440923934536338,180.6584362139918
8317,photo_album_49,70.0,,
8317,photo_album_67,50.0,,
8318,photo_album_11,37.5,14.469796128487781,209.375
8318,photo_album_17,40.0,,
8318,photo_album_49,50.0,,
8318,photo_album_55,20.0,,
8318,photo_album_67,10.0,,
8318,photo_album_80,30.0,,
8320,photo_album_17,0.0,49.49747468305833,2450.0
8320,photo_album_42,70.0,,
8321,photo_album_11,0.0,28.284271247461902,800.0
8321,photo_album_17,0.0,,
8321,photo_album_42,60.0,,
8321,photo_album_67,20.0,,
8322,photo_album_11,100.0,14.719601443879744,216.66666666666666
8322,photo_album_17,80.0,,
8322,photo_album_42,90.0,,
8322,photo_album_49,90.0,,
8322,photo_album_55,70.0,,
8322,photo_album_67,60.0,,
8323,photo_album_11,60.0,0.0,0.0
8323,photo_album_17,60.0,,
8323,photo_album_42,60.0,,
8323,photo_album_55,60.0,,
8324,photo_album_11,100.0,0.0,0.0
8324,photo_album_67,100.0,,
8325,photo_album_17,80.0,9.574271077563381,91.66666666666667
8325,photo_album_49,80.0,,
8325,photo_album_55,100.0,,
8325,photo_album_80,90.0,,
8326,photo_album_11,77.77777777777777,14.667087536048983,215.12345679012344
8326,photo_album_55,60.0,,
8326,photo_album_67,90.0,,
8326,photo_album_80,60.0,,
8327,photo_album_11,80.0,18.929694486000912,358.3333333333333
8327,photo_album_17,80.0,,
8327,photo_album_55,40.0,,
8327,photo_album_67,70.0,,
8328,photo_album_42,80.0,14.832396974191326,220.0
8328,photo_album_49,60.0,,
8328,photo_album_55,40.0,,
8328,photo_album_67,60.0,,
8328,photo_album_80,50.0,,
8329,photo_album_49,90.0,20.0,400.0
8329,photo_album_55,50.0,,
8329,photo_album_67,90.0,,
8329,photo_album_80,90.0,,
8330,photo_album_49,80.0,11.547005383792516,133.33333333333334
8330,photo_album_55,60.0,,
8330,photo_album_80,80.0,,
8331,photo_album_42,90.0,20.816659994661325,433.3333333333333
8331,photo_album_49,50.0,,
8331,photo_album_80,60.0,,
8332,photo_album_11,70.0,5.0,25.0
8332,photo_album_49,60.0,,
8332,photo_album_67,60.0,,
8332,photo_album_80,60.0,,
8334,photo_album_11,55.55555555555556,23.596400646217003,556.7901234567902
8334,photo_album_17,20.0,,
8334,photo_album_42,70.0,,
8334,photo_album_49,70.0,,
8335,photo_album_11,55.55555555555556,11.2765461834358,127.16049382716051
8335,photo_album_55,30.0,,
8335,photo_album_67,50.0,,
8335,photo_album_80,40.0,,
8336,photo_album_42,50.0,26.457513110645905,700.0
8336,photo_album_55,0.0,,
8336,photo_album_80,40.0,,
8337,photo_album_11,60.0,19.407902170679517,376.66666666666663
8337,photo_album_17,80.0,,
8337,photo_album_42,50.0,,
8337,photo_album_49,50.0,,
8337,photo_album_55,20.0,,
8337,photo_album_80,50.0,,
8338,photo_album_42,20.0,14.142135623730951,200.0
8338,photo_album_49,40.0,,
8339,photo_album_11,33.333333333333336,19.531550923607718,381.48148148148147
8339,photo_album_42,70.0,,
8339,photo_album_80,40.0,,
8340,photo_album_11,0.0,0.0,0.0
8340,photo_album_42,0.0,,
8340,photo_album_55,0.0,,
8341,photo_album_17,10.0,15.0,225.0
8341,photo_album_55,0.0,,
8341,photo_album_67,30.0,,
8341,photo_album_80,30.0,,
8342,photo_album_11,60.0,8.94427190999916,80.0
8342,photo_album_17,80.0,,
8342,photo_album_49,70.0,,
8342,photo_album_55,60.0,,
8342,photo_album_80,60.0,,
8343,photo_album_11,33.333333333333336,19.531550923607718,381.48148148148147
8343,photo_album_49,70.0,,
8343,photo_album_55,40.0,,
8345,photo_album_11,66.66666666666667,11.642832797715322,135.55555555555557
8345,photo_album_17,60.0,,
8345,photo_album_55,60.0,,
8345,photo_album_67,40.0,,
8345,photo_album_80,70.0,,
8346,photo_album_17,30.0,8.16496580927726,66.66666666666667
8346,photo_album_42,50.0,,
8346,photo_album_55,40.0,,
8346,photo_album_67,40.0,,
8347,photo_album_17,11.11111111111111,0.641500299099584,0.41152263374485565
8347,photo_album_42,10.0,,
8347,photo_album_67,10.0,,
8348,photo_album_11,11.11111111111111,6.119522830317891,37.44855967078189
8348,photo_album_17,10.0,,
8348,photo_album_67,0.0,,
8349,photo_album_42,0.0,14.142135623730951,200.0
8349,photo_album_49,10.0,,
8349,photo_album_67,0.0,,
8349,photo_album_80,30.0,,
8350,photo_album_42,70.0,23.874672772626646,570.0
8350,photo_album_49,80.0,,
8350,photo_album_55,20.0,,
8350,photo_album_67,50.0,,
8350,photo_album_80,40.0,,
8351,photo_album_11,77.77777777777777,4.931631338038254,24.320987654320977
8351,photo_album_17,70.0,,
8351,photo_album_49,70.0,,
