AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
15606,1000,photo_album_90,9,1,90,infant,0,IBEIS_PZ_1373,1646,ok,UNKNOWN SEX,zebra_plains,right
15415,551,photo_album_28,9,1,90,infant,0,____,-15415,ok,UNKNOWN NAME,zebra_plains,right
13293,382,photo_album_82,9,1,90,infant,0,____,-13293,excellent,UNKNOWN NAME,zebra_plains,right
9665,1315,photo_album_15,9,1,90,adult,0,NNP_GIRM_0101,135,ok,Female,giraffe_masai,left
9442,897,photo_album_50,9,1,90,adult,0,NNP_GIRM_0143,234,ok,Female,giraffe_masai,frontleft
12479,4902,photo_album_77,9,1,90,adult,1,IBEIS_PZ_1712,1985,good,Female,zebra_plains,left
15427,478,photo_album_72,9,1,90,infant,0,____,-15427,poor,UNKNOWN NAME,zebra_plains,left
13314,363,photo_album_14,9,1,90,infant,0,____,-13314,excellent,UNKNOWN NAME,zebra_plains,right
13271,353,photo_album_82,9,1,90,infant,0,____,-13271,good,UNKNOWN NAME,zebra_plains,right
16038,589,photo_album_20,9,1,90,adult,1,IBEIS_PZ_1578,1851,ok,Female,zebra_plains,left
9344,643,photo_album_72,9,1,90,infant,0,____,-9344,ok,UNKNOWN NAME,giraffe_masai,left
9101,8316,photo_album_42,9,1,90,adult,1,NNP_GIRM_0089,115,ok,Female,giraffe_masai,frontleft
13399,4,photo_album_85,9,1,90,infant,0,____,-13399,good,UNKNOWN NAME,zebra_plains,backleft
15943,461,photo_album_32,9,1,90,infant,0,____,-15943,poor,UNKNOWN NAME,zebra_plains,left
15944,461,photo_album_32,9,1,90,"juvenille, two year old",0,IBEIS_PZ_0902,1175,ok,Female,zebra_plains,frontleft
10048,6788,photo_album_66,9,1,90,infant,0,____,-10048,poor,UNKNOWN NAME,giraffe_masai,right
9218,312,photo_album_38,9,1,90,"juvenille, two year old",0,NNP_GIRM_0038,51,ok,Female,giraffe_masai,frontleft
13939,1859,photo_album_22,9,1,90,adult,1,IBEIS_PZ_1239,1512,excellent,Female,zebra_plains,left
13038,5009,photo_album_86,9,1,90,infant,1,IBEIS_PZ_1390,1663,excellent,UNKNOWN SEX,zebra_plains,left
18608,4062,photo_album_99,9,1,90,infant,0,____,-18608,ok,UNKNOWN NAME,zebra_plains,backleft
9120,8352,photo_album_42,9,1,90,adult,0,NNP_GIRM_0111,158,ok,Male,giraffe_masai,left
9121,8352,photo_album_42,9,1,90,"juvenille, one year old",1,NNP_GIRM_0047,63,good,Female,giraffe_masai,left
9576,5239,photo_album_39,9,1,90,adult,0,NNP_GIRM_0095,124,ok,Female,giraffe_masai,frontleft
16147,607,photo_album_59,9,1,90,infant,1,IBEIS_PZ_1570,1843,good,UNKNOWN SEX,zebra_plains,left
9325,15,photo_album_85,9,1,90,infant,0,____,-9325,ok,UNKNOWN NAME,giraffe_masai,frontright
9028,8329,photo_album_67,9,1,90,"juvenille, one year old",0,NNP_GIRM_0035,47,ok,Male,giraffe_masai,right
9028,8329,photo_album_80,9,1,90,"juvenille, one year old",0,NNP_GIRM_0035,47,ok,Male,giraffe_masai,right
9028,8329,photo_album_49,9,1,90,"juvenille, one year old",0,NNP_GIRM_0035,47,ok,Male,giraffe_masai,right
17076,2762,photo_album_79,9,1,90,infant,1,IBEIS_PZ_1716,1989,ok,UNKNOWN SEX,zebra_plains,left
17077,2762,photo_album_79,9,1,90,infant,0,IBEIS_PZ_1637,1910,ok,Female,zebra_plains,left
17078,2762,photo_album_79,9,1,90,infant,0,____,-17078,poor,UNKNOWN NAME,zebra_plains,left
12465,4901,photo_album_51,9,1,90,adult,0,IBEIS_PZ_0858,1131,ok,UNKNOWN SEX,zebra_plains,frontright
12465,4901,photo_album_58,9,1,90,adult,0,IBEIS_PZ_0858,1131,ok,UNKNOWN SEX,zebra_plains,frontright
12466,4901,photo_album_51,9,1,90,adult,0,IBEIS_PZ_0848,1121,ok,Female,zebra_plains,left
12466,4901,photo_album_58,9,1,90,adult,0,IBEIS_PZ_0848,1121,ok,Female,zebra_plains,left
11002,8403,photo_album_73,9,1,90,adult,0,IBEIS_PZ_0523,796,ok,Male,zebra_plains,frontleft
13961,1869,photo_album_25,9,1,90,"juvenille, one year old",0,IBEIS_PZ_1698,1971,good,Male,zebra_plains,left
16078,579,photo_album_10,9,1,90,infant,0,____,-16078,poor,UNKNOWN NAME,zebra_plains,right
16079,579,photo_album_10,9,1,90,infant,0,____,-16079,good,UNKNOWN NAME,zebra_plains,right
15392,533,photo_album_72,9,1,90,infant,0,____,-15392,poor,UNKNOWN NAME,zebra_plains,left
10422,7962,photo_album_88,9,1,90,infant,0,IBEIS_PZ_0021,294,poor,Female,zebra_plains,left
9421,900,photo_album_48,9,1,90,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,left
9422,900,photo_album_48,9,1,90,infant,0,____,-9422,junk,UNKNOWN NAME,giraffe_masai,frontleft
9164,346,photo_album_19,9,1,90,adult,0,NNP_GIRM_0119,172,good,Female,giraffe_masai,left
9164,346,photo_album_82,9,1,90,adult,0,NNP_GIRM_0119,172,good,Female,giraffe_masai,left
9164,346,photo_album_46,9,1,90,adult,0,NNP_GIRM_0119,172,good,Female,giraffe_masai,left
9074,3165,photo_album_6,9,1,90,infant,0,____,-9074,poor,UNKNOWN NAME,giraffe_masai,left
10295,7867,photo_album_47,9,1,90,infant,0,IBEIS_PZ_0011,284,poor,UNKNOWN SEX,zebra_plains,left
10296,7867,photo_album_47,9,1,90,adult,0,IBEIS_PZ_0204,477,ok,Female,zebra_plains,back
