GID,Shared,Not Shared,Total,Proportion
1996,6,4,10,60.0
3124,6,4,10,60.0
7744,12,8,20,60.0
8623,6,4,10,60.0
538,6,4,10,60.0
8942,6,4,10,60.0
3356,6,4,10,60.0
5360,6,4,10,60.0
5350,6,4,10,60.0
5320,6,4,10,60.0
1164,6,4,10,60.0
1159,6,4,10,60.0
9144,6,4,10,60.0
5252,6,4,10,60.0
9219,6,4,10,60.0
5000,6,4,10,60.0
111,6,4,10,60.0
1105,6,4,10,60.0
5218,6,4,10,60.0
3340,6,4,10,60.0
7609,6,4,10,60.0
5016,6,4,10,60.0
9307,6,4,10,60.0
9332,6,4,10,60.0
5037,6,4,10,60.0
5117,6,4,10,60.0
4950,6,4,10,60.0
1255,6,4,10,60.0
4840,6,4,10,60.0
7683,6,4,10,60.0
4841,6,4,10,60.0
4851,6,4,10,60.0
5676,6,4,10,60.0
8762,6,4,10,60.0
8766,6,4,10,60.0
1512,6,4,10,60.0
3396,6,4,10,60.0
2149,6,4,10,60.0
1337,6,4,10,60.0
7725,6,4,10,60.0
49,6,4,10,60.0
3378,6,4,10,60.0
5546,6,4,10,60.0
8802,6,4,10,60.0
1290,6,4,10,60.0
326,6,4,10,60.0
1279,6,4,10,60.0
3364,6,4,10,60.0
4931,12,8,20,60.0
1261,6,4,10,60.0
1260,6,4,10,60.0
3327,12,8,20,60.0
1917,6,4,10,60.0
3197,6,4,10,60.0
6958,6,4,10,60.0
8023,6,4,10,60.0
806,6,4,10,60.0
8064,6,4,10,60.0
2742,6,4,10,60.0
2727,6,4,10,60.0
387,6,4,10,60.0
8119,6,4,10,60.0
2700,6,4,10,60.0
391,6,4,10,60.0
6729,6,4,10,60.0
3938,6,4,10,60.0
3145,6,4,10,60.0
3444,6,4,10,60.0
6675,6,4,10,60.0
8161,6,4,10,60.0
3148,6,4,10,60.0
402,12,8,20,60.0
8170,6,4,10,60.0
2494,6,4,10,60.0
6919,6,4,10,60.0
2876,6,4,10,60.0
2458,12,8,20,60.0
2888,6,4,10,60.0
3472,6,4,10,60.0
785,6,4,10,60.0
7864,6,4,10,60.0
3130,6,4,10,60.0
79,6,4,10,60.0
7279,6,4,10,60.0
3097,6,4,10,60.0
7277,6,4,10,60.0
3094,6,4,10,60.0
792,6,4,10,60.0
3084,12,8,20,60.0
3082,6,4,10,60.0
3076,12,8,20,60.0
710,12,8,20,60.0
3038,6,4,10,60.0
7953,6,4,10,60.0
314,6,4,10,60.0
2934,6,4,10,60.0
7817,6,4,10,60.0
3441,6,4,10,60.0
4519,6,4,10,60.0
2368,6,4,10,60.0
6536,6,4,10,60.0
2351,6,4,10,60.0
2324,6,4,10,60.0
8212,6,4,10,60.0
8213,6,4,10,60.0
820,6,4,10,60.0
2177,6,4,10,60.0
8230,6,4,10,60.0
2241,6,4,10,60.0
8247,6,4,10,60.0
828,6,4,10,60.0
2308,6,4,10,60.0
2318,6,4,10,60.0
3161,6,4,10,60.0
23,6,4,10,60.0
6587,6,4,10,60.0
2285,6,4,10,60.0
2278,6,4,10,60.0
412,6,4,10,60.0
3438,12,8,20,60.0
819,6,4,10,60.0
6431,6,4,10,60.0
8345,29,20,49,59.183673469387756
8328,29,21,50,58.0
1306,5,4,9,55.55555555555556
1307,10,8,18,55.55555555555556
1294,5,4,9,55.55555555555556
1288,5,4,9,55.55555555555556
1973,5,4,9,55.55555555555556
471,5,4,9,55.55555555555556
3318,5,4,9,55.55555555555556
736,5,4,9,55.55555555555556
